wikidata_id	word
Q140	Löwe
Q11962	Brotkäfer
Q14334	Vielfraß
Q4388	Eichhoernchen
Q4388	Eurasisches Eichhörnchen
Q4388	Europäisches Eichhörnchen
Q29350771	Hausschaf
Q17970	Jabiru
Q17970	Jabirustorch
Q18836	Laufhühnchen
Q18851	Flussregenpfeifer
Q18851	Flußregenpfeifer
Q18922	Dickschnabelkuckuck
Q19551	Kleines Präriehuhn
Q21171	Kellerassel
Q25432	Fasan
Q25432	Jagdfasan
Q25816	Brauner Gebüsch-Lappenspanner
Q26064	Braunkopfmöwe
Q26158	Gänseblümchen
Q26387	Aal
Q26411	Kampfläufer
Q26559	Europäischer Nerz
Q26582	Europäischer Iltis
Q26582	Iltis, Waldiltis
Q26620	Gartenrotschwanz
Q26755	Hausrotschwanz
Q26896	Eissturmvogel
Q26913	Gemeiner Seehund
Q27542	Halmaherasalangane
Q27542	Molukkensalangane
Q27581	Marianensalangane
Q28122714	Kampfläufer
Q18844	Weißgesicht-Stelzenläufer
Q18847	Teichhuhn
Q18880	Silberohr-Sonnenvogel
Q19551	Oklahomapräriehuhn
Q21062	Trottellume
Q21062	Trottellumme
Q25317	Schleiereule
Q25393	Nachtigall
Q25450	Spiessente
Q25450	Spießente
Q25709	Rohrdommel
Q25769	Sumpfohreule
Q26198	Rabenkrähe
Q26490	Turmfalke
Q26582	Waldiltis
Q26657	Wintergoldhähnchen
Q26685	Papageitaucher
Q26844	Truthuhn
Q26913	Seehund
Q26961	Rohrammer
Q27129	Raubseeschwalbe
Q27456	Palausalangane
Q27459	Schwarznestsalangane
Q180960	Onager
Q613450	Schleiereule
Q31866	Pazifiksegler
Q33115	Gewöhnlicher Tannenwedel
Q33115	Tannenwedel
Q33261	Ozelot
Q33609	Eisbär
Q35517	Elch
Q35517	Eurasischer Elch
Q36341	Braunbär
Q39634	Netz-Weide
Q39708	Purpur-Weide
Q39708	Purpurweide
Q41960	Katzenbär
Q42623	Rohrkatze
Q43208	Bourlon-Ginsterkatze
Q27742	Tarpan
Q27929	Travers-Zweizahnwal
Q28484	Gelbkopfkarakara
Q29249	Flussnachtschwalbe
Q29995	Europäischer Fischotter
Q29995	Fischotter
Q30041	Medizinischer Blutegel
Q30153	Makrele
Q30959	Stechapfel
Q30959	Weißer Stechapfel
Q31255	Madagaskar-Palmenflughund
Q31713	Malaiensegler
Q31769	Stachelschwanzsegler
Q31801	Weißnestsalangane
Q31804	Isabellbrustspecht
Q58921	Temmincksstrandläufer
Q58921	Temminckstrandläufer
Q62345	Sichelstrandläufer
Q63835	Olivenspötter
Q63902	Bergwald-Baumsteiger
Q63911	Rotnacken-Zaunkönig
Q63911	Veracruz-Zaunkönig
Q73344	Rotstirn-Zweigtimalie
Q73344	Schuppenstirn-Zweigdrossling
Q73427	Purpurpfeifdrossel
Q73700	Graukopfschnäpper
Q73714	Samtstirnkleiber
Q73839	Zwergscherenschwanz
Q73857	Indigoschnäpper
Q73857	Javaschnäpper
Q73878	Perlwangen-Buschtimalie
Q73878	Perlwangentimalie
Q73888	Grauwangen-Buschtimalie
Q73916	Schnäpperdickkopf
Q73950	Javabrillenvogel
Q28854396	Javabrillenvogel
Q113980	Halmaherahabicht
Q113989	Rabaulhabicht
Q113989	Schiefermantelhabicht
Q26726	Hanf
Q114338	Kurzfangsperber
Q114521	Halsbandsperber
Q114551	Graukopfhabicht
Q116147	Weißbrustschnäpper
Q118698	Weißband-Sonnennymphe
Q118917	Abeillekernbeißer
Q118917	Kapuzenkernbeißer
Q120264	Rio de Janeiro-Ameisenschlüpfer
Q120264	Rio-de-Janeiro-Ameisenschlüpfer
Q122778	Pfingst-Nelke
Q125134	Palmenwaldsänger
Q125813	Hasen-Klee
Q126336	Jamaika-Schlanknatter
Q126643	Kehlstreifpinguin
Q126643	Zügelpinguin
Q127358	Kleinblütiger Klee
Q127650	Orangebrust-Waldrötel
Q127650	Waldrötel
Q127835	Madagaskarsperber
Q127895	Wellenflughuhn
Q128039	Meyerhabicht
Q128039	Papuahabicht
Q128617	Gelbschnabeltoko
Q128617	Östlicher Gelbschnabeltoko
Q129036	Magellangans
Q129059	Auerhuhn
Q129413	Bulwersturmvogel
Q129773	Nuttall-Berg-Baumwollschwanzkaninchen
Q129838	Großer Gleithörnchenbeutler
Q129838	Riesenflughörnchen
Q130259	Sokotragimpel
Q131219	Bettsaier
Q131219	Bettseicher
Q131219	Gewöhnlicher Löwenzahn
Q131219	Hundeblume
Q131219	Maistöckel
Q131219	Puschelkraut
Q131219	Wiesenlöwenzahn
Q131342	Ackerbohne
Q131342	Dicke Bohne
Q131342	Faberbohne
Q131342	Favabohne
Q131342	Feldbohne
Q131342	Große Bohne
Q131342	Pferdebohne
Q131342	Puffbohne
Q131342	Saubohne
Q131342	Säubohne
Q131342	Schweinsbohne
Q131342	Viehbohne
Q131431	Neonsalmler
Q27075928	Palmenwaldsänger
Q28840274	Weißbrustschnäpper
Q75070	Südliches Kugelgürteltier
Q76280	Schleie
Q80736	Borstenkopf
Q80736	Borstenkopfpapagei
Q81091	Europäischer Wisent
Q81091	Wisent
Q244239	Zwergplumplori
Q688601	Plumplori
Q44327	Asien-Wollhalsstorch
Q30056	Möhre
Q44327	Wollhalsstorch
Q45586	Mazama-Taschenratte
Q45586	Westliche Taschenratte
Q46144	Gelbbauchwiesel
Q46148	Kapotter
Q56899	Feenastrild
Q56903	Gabunnektarvogel
Q56903	Mangrovenektarvogel
Q93235	Preiselbeere
Q101815	Tee
Q106094	Pinie
Q106728	Riesenmaulhai
Q157565	Schachbrett
Q132576	Impala
Q135589	Felsenstummelschwanz
Q135589	Felsschlüpfer
Q140331	Echtes Drehmoos
Q143313	Baumpieper
Q144534	Blei
Q144534	Bleier
Q144534	Brachsen
Q144534	Brassen
Q144534	Breitling
Q144534	Bressen
Q144534	Halbfisch
Q144534	Klesch
Q145204	Blauflügel-Waldsänger
Q145930	Garten-Ringelblume
Q146136	Echter Faulbaum
Q146136	Faulbaum
Q146935	Himalaya-Zeder
Q147492	Flatter-Ulme
Q147492	Flatterulme
Q147707	Bittersüss
Q147707	Bittersüßer Nachtschatten
Q147939	Gemeiner Goldregen
Q147939	Gewöhnlicher Goldregen
Q132576	Schwarzfersenantilope
Q133630	Meereswallnuss
Q135135	Woolley-Fettschwanzbeutelmaus
Q135135	Woolleys Fettschwanz-Beutelmaus
Q135148	Mimikafluss-Kuskus
Q135148	Südlicher Wollkuskus
Q135416	Sumpf-Breitfuß-Beutelmaus
Q135416	Sumpf-Breitfußbeutelmaus
Q135439	Subtropische Breitfuß-Beutelmaus
Q135439	Subtropische Breitfußbeutelmaus
Q137607	Mosambik-Akazienmaus
Q139772	Manzano-Berg-Baumwollschwanzkaninchen
Q140331	Wetteranzeigendes Drehmoos
Q140352	Wacholder-Widertonmoos
Q144534	Lesch
Q144534	Platteisel
Q144534	Scheibpleizen
Q144534	Sunnfisch
Q145930	Ringelblume
Q146190	Topinambur
Q146449	Solitärer Fruchtvampir
Q146458	Koopmanns Dunkle Großfußmaus
Q146458	Madagaskar-Bergmaus
Q146487	Schmuckspecht
Q146519	Königs-Riesenratte
Q146661	Rote Johannisbeere
Q146884	Zangenartige Dornspinne
Q147783	Wiesen-Rispengras
Q147783	Wiesenrispengras
Q147991	Ausgebreitetes Glaskraut
Q147991	Niederliegendes Glaskraut
Q148097	Zarte Binse
Q148668	Echter Thymian
Q148824	Islandmohn
Q148926	Blutauge
Q148926	Kleines Teufelsauge
Q148926	Sommer-Adonisröschen
Q148926	Sommeradonis
Q148926	Sommeradonisröschen
Q148926	Sommerblutströpfchen
Q148961	Kleines Mädesüß
Q148994	Glashaar-Haarmützenmoos
Q148994	Glashaar-Widertonmoos
Q148994	Haartragendes Frauenhaar-Moos
Q149115	Spießtanne
Q149398	Kleiner Nasenbär
Q149471	Balsam-Pappel
Q149597	Amur-Adonisröschen
Q149896	Steppen-Wolfsmilch
Q150010	Australische Seerose
Q150010	Riesenseerose
Q150064	Zitronatzitrone
Q150333	Seidenmoos
Q150832	Kermeslaus
Q150832	Polnische Karminschildlaus
Q212552	Meeraal
Q18198979	Blutauge
Q25679108	Blauflügel-Waldsänger
Q156606	Rhesusaffe
Q156606	Rhesusmakak
Q156823	Scharfer Mauerpfeffer
Q156853	Gewöhnliche Haselwurz
Q156865	Gemeiner Odermennig
Q156865	Kleiner Odermennig
Q156865	Odermennig
Q156907	Gemeine Esche
Q156907	Gewöhnliche Esche
Q157078	Gemeines Leinkraut
Q157078	Gewöhnliches Leinkraut
Q157078	Kleines Löwenmaul
Q157154	Mausöhrle
Q157154	Rippenblatt
Q157154	Saurüssel
Q157175	Kleine Brennessel
Q157175	Kleine Brennnessel
Q157431	Rotes Waldvöglein
Q157540	Grau-Weide
Q157643	Grottenstengel
Q157643	Krauser Ampfer
Q157643	Roter-Heinrich
Q157772	Pfeifengras
Q157842	Hohe Primel
Q157842	Hohe Schlüsselblume
Q157846	Sanikel
Q157862	Strand-Dreizack
Q157883	Italienisches Raigras
Q157883	Italienisches Raygras
Q157891	Kleines Zweiblatt
Q157914	Gelber Fingerhut
Q157920	Indische Hibiscus-Malve
Q157923	Gelbklee
Q157923	Hopfen-Klee
Q157923	Hopfen-Luzerne
Q157923	Hopfen-Schneckenklee
Q157923	Hopfenklee
Q157923	Hopfenluzerne
Q158303	Gewöhnliche Mahonie
Q158338	Jungfer im Grünen
Q158496	Gebräuchlicher Eibisch
Q158538	Jelängerjelieber
Q158776	Hainbuche
Q158883	Hühnerbiss
Q158889	Heide-Königskerze
Q158889	Heidefackel-Königskerze
Q159020	Gemeine Sumpfsimse
Q159020	Gewöhnliche Sumpfbinse
Q159034	Kranz-Lichtnelke
Q159035	Knotiges Mastkraut
Q159118	Gewöhnliches Rispengras
Q159128	Hain-Felsenblümchen
Q159167	Knorpelblume
Q159200	Kleiner Storchschnabel
