wikidata_id	word	category
Q37771	Cursinu	Animal
Q37775	Drever	Animal
Q37815	Laekenois	Animal
Q37821	Briard	Animal
Q37859	Azawakh	Animal
Q37866	Barsoi	Animal
Q37871	Basenji	Animal
Q37872	Armant	Animal
Q37904	Aïdi	Animal
Q37925	Sloughi	Animal
Q37929	Deerhound	Animal
Q37946	Eurasier	Animal
Q37963	Mucuchies	Animal
Q37978	Hamiltonstövare	Animal
Q37982	Haldenstøver	Animal
Q38006	Harlekinpinscher	Animal
Q38008	Markiesje	Animal
Q38013	Jonangi	Animal
Q38016	Hygenhund	Animal
Q38027	Löwchen	Animal
Q38080	Bullmastiff	Animal
Q38090	Bernhardiner	Animal
Q38107	Harrier	Animal
Q29099	Dackel	Animal
Q29164	Akita	Animal
Q29174	Pungsan	Animal
Q29178	Sapsali	Animal
Q29212	Taiwanhund	Animal
Q37464	Telomian	Animal
Q37478	Beagle-Harrier	Animal
Q37487	Ariégeois	Animal
Q37546	Bisben	Animal
Q37566	Bologneser	Animal
Q37585	Barbet	Animal
Q37589	Boerboel	Animal
Q37637	Billy	Animal
Q37649	Mallorca-Schäferhund	Animal
Q37653	Bakharwal	Animal
Q37667	Chippiparai	Animal
Q37678	Chortaj	Animal
Q37704	Bobtail	Animal
Q37720	Beauceron	Animal
Q37722	Chinook	Animal
Q37737	Broholmer	Animal
Q4732960	Allmogekor	Animal
Q4985612	Orpingtonente	Animal
Q5184576	Landente	Animal
Q5317315	Krummschnabelenten	Animal
Q6979096	Kumiş	Animal
Q7981908	Welsh-Harlekin-Enten	Animal
Q9163860	Bachmat	Animal
Q9176378	Kampfhuhnrasse	Animal
Q9264220	Zwerg-Friesenhuhn	Animal
Q9264220	Zwerg-Friesenhuhn	
Q9300541	Cayugaente	Animal
Q11752634	Leine	Animal
Q12830352	Prekos	Animal
Q16897924	Montauban	Animal
Q18562236	Zentralebenen-Gelbvieh	Animal
Q18957261	Zwerg-Krüper	Animal
Q26701923	Piacentino	Animal
Q26703419	Manotte	Animal
Q26704619	Ronsenaar	Animal
Q39367	Hunderasse	Animal
Q197824	Zhongdian-Yak	Animal
Q628621	Guzerat-Rind	Animal
Q658108	Sanke	Animal
Q720387	Asagi	Animal
Q793051	Aylesburyente	Animal
Q815036	Bekko	Animal
Q820686	Sachsenente	Animal
Q924403	Utsurimono	Animal
Q1111549	Urhund	Animal
Q1146687	Cuy	Animal
Q1248190	Qinghai-Yak	Animal
Q1285500	Jiulong-Yak	Animal
Q1470180	Gannan-Yak	Animal
Q1475331	Showa	Animal
Q1475331	Showa	
Q1519738	Tancho	Animal
Q1632846	Huanhu-Yak	Animal
Q1725861	Kawarimono	Animal
Q1779694	Kōhaku	Animal
Q1854941	Ranchu	Animal
Q1885956	Maiwa-Yak	Animal
Q1949917	Pfautaube	Animal
Q2007814	Shubunkin	Animal
Q2313173	Asinara-Esel	Animal
Q2365758	Butterfly-Koi	Animal
Q2431342	Tibet-Yak	Animal
Q2472936	Uckermärker	Animal
Q2928153	Bunaji	Animal
Q653	Chihuahua	Animal
Q7254	Affenpinscher	Animal
Q11385	Brandlbracke	Animal
Q17504	Dalmatiner	Animal
Q20860	Wetterhoun	Animal
Q21074	Maremmen-Abruzzen-Schäferhund	Animal
Q21098	Bloodhound	Animal
Q21102	Beagle	Animal
Q23473	Normand-Poitevin	Animal
Q23853	Hokkaido	Animal
Q25746	Kitler	Animal
Q25865	Sertanejo	Animal
Q25881	Gegar	Animal
Q29013	Chow-Chow	Animal
Q29028	Combai	Animal
Q53662	Laika	Animal
Q61901018	Eselrasse	Animal
Q38185	Poitevin	Animal
Q38223	Kai	Animal
Q38312	Rajapalayam	Animal
Q38322	Bullterrier	Animal
Q38342	Kishu	Animal
Q38358	Dobermann	Animal
Q38368	Hovawart	Animal
Q38399	Groenendael	Animal
Q38403	Kromfohrländer	Animal
Q38418	Mastiff	Animal
Q38436	Schafpudel	Animal
